Date,Year,Month,Daily Vehicle Count,Regular Gas Price Average,Midgrade Gas Price Average,Premium Gas Price Average,Monthly_Max_Temp,Monthly_Min_Temp,Monthly_Sum_Precipitation,Monthly_Snowfall
2005-01,2005,Jan,19470,1.766,1.876,1.98,32.3,12.7,2.29,36
2005-02,2005,Feb,21207,1.855,1.965,2.065,33.9,10.5,2.14,37.5
2005-03,2005,Mar,22943,2.0825,2.19,2.2875,39.5,17.5,1.49,20
2005-04,2005,Apr,21288,2.23,2.3425,2.445,49.9,24.0,2.24,20
2005-05,2005,May,23505,2.154,2.264,2.364,62.1,30.5,1.01,2
2005-06,2005,Jun,27502,2.1,2.2075,2.315,68.8,34.4,3.05,0
2005-07,2005,Jul,26983,2.245,2.355,2.455,79.5,40.9,0.42,0
2005-08,2005,Aug,26646,2.442,2.552,2.65,72.1,40.0,1.96,0
2005-09,2005,Sep,24940,2.9475,3.055,3.15,68.6,33.8,3.16,0
2005-10,2005,Oct,22596,2.762,2.872,2.974,56.4,28.4,2.27,6.5
2005-11,2005,Nov,20515,2.3325,2.4375,2.5425,39.5,15.3,1.42,0
2005-12,2005,Dec,19588,2.155,2.26,2.36,28.1,7.7,1.97,0
2006-01,2006,Jan,19845,2.238,2.346,2.448,27.7,6.0,2.10,0
2006-02,2006,Feb,18485,2.215,2.3225,2.425,33.4,9.9,1.75,0
2006-03,2006,Mar,23220,2.3925,2.5,2.6025,37.7,11.5,0.87,9.1
2006-04,2006,Apr,22153,2.665,2.775,2.875,54.5,23.1,0.38,4.5
2006-05,2006,May,21138,2.81,2.918,3.018,61.2,28.5,0.25,0
2006-06,2006,Jun,26740,2.8,2.9075,3.0075,75.1,36.3,0.33,0
2006-07,2006,Jul,28011,2.936,3.048,3.14,77.5,44.9,2.62,0
2006-08,2006,Aug,27524,3.005,3.11,3.21,73.6,42.8,1.92,0
2006-09,2006,Sep,25338,2.78,2.895,2.9875,59.6,30.6,3.44,4.5
2006-10,2006,Oct,20618,2.354,2.464,2.564,51.0,25.4,3.14,14.5
2006-11,2006,Nov,21992,2.1575,2.26,2.36,39.9,14.2,2.09,23.3
2006-12,2006,Dec,20939,2.1775,2.28,2.38,28.3,8.5,0.62,17.5
2007-01,2007,Jan,21395,2.128,2.234,2.334,24.2,2.0,1.72,21.5
2007-02,2007,Feb,21353,2.185,2.2925,2.39,33.6,10.6,1.87,20.7
2007-03,2007,Mar,23637,2.4875,2.595,2.695,44.8,18.2,1.40,5.5
2007-04,2007,Apr,22582,2.778,2.888,2.996,51.6,25.5,1.74,7.6
2007-05,2007,May,24265,3.235,3.355,3.47,60.7,31.6,1.35,7
2007-06,2007,Jun,27268,3.1925,3.3125,3.4225,72.7,36.0,0.73,0
2007-07,2007,Jul,29439,3.076,3.186,3.292,79.7,44.8,0.96,0
2007-08,2007,Aug,26065,2.8625,2.975,3.0825,76.2,45.2,2.41,0
2007-09,2007,Sep,23595,2.8675,2.9825,3.09,67.0,35.2,3.25,0
2007-10,2007,Oct,22722,2.792,2.902,3.016,53.8,24.8,2.17,9.7
2007-11,2007,Nov,22460,3.0275,3.1375,3.2475,42.6,14.9,0.70,4.3
2007-12,2007,Dec,20238,2.878,2.996,3.106,26.4,6.3,3.47,45
2008-01,2008,Jan,21786,2.8525,2.9675,3.0775,23.6,1.2,3.29,47.8
2008-02,2008,Feb,22880,2.935,3.05,3.1625,30.0,8.4,2.66,52.6
2008-03,2008,Mar,24374,3.116,3.232,3.34,37.5,9.0,2.04,27
2008-04,2008,Apr,22791,3.355,3.47,3.58,43.3,16.4,2.25,36
2008-05,2008,May,24524,3.66,3.78,3.89,57.6,29.4,2.91,14.8
2008-06,2008,Jun,26906,3.934,4.05,4.16,70.9,33.7,0.79,0
2008-07,2008,Jul,28666,3.995,4.1125,4.225,78.0,41.6,1.51,0
2008-08,2008,Aug,28362,3.8125,3.93,4.0375,74.0,41.3,1.83,0
2008-09,2008,Sep,25861,3.648,3.764,3.874,66.2,32.9,1.85,0
2008-10,2008,Oct,23962,3.0475,3.1675,3.2675,55.8,24.0,1.15,3.5
2008-11,2008,Nov,20539,2.1,2.21,2.32,42.4,18.8,1.00,8
2008-12,2008,Dec,19436,1.614,1.726,1.834,27.7,8.6,3.70,57
2009-01,2009,Jan,20473,1.59,1.7025,1.8125,27.7,7.8,2.79,50
2009-02,2009,Feb,21084,1.8225,1.9325,2.04,34.9,12.0,1.82,8.1
2009-03,2009,Mar,22687,1.862,1.978,2.082,41.9,15.9,1.85,31
2009-04,2009,Apr,20734,2.0125,2.1325,2.24,47.2,20.6,1.52,19.5
2009-05,2009,May,22971,2.2225,2.335,2.445,61.6,33.7,2.42,0
2009-06,2009,Jun,26494,2.514,2.624,2.734,65.4,36.6,2.89,0
2009-07,2009,Jul,28787,2.465,2.58,2.6875,75.1,40.3,2.15,0
2009-08,2009,Aug,27696,2.516,2.628,2.736,72.4,37.9,0.81,0
2009-09,2009,Sep,25134,2.4425,2.5625,2.6625,65.8,35.1,1.26,0
2009-10,2009,Oct,22138,2.4275,2.5425,2.6475,48.4,25.1,1.70,11
2009-11,2009,Nov,20205,2.552,2.666,2.774,41.0,15.6,0.65,10
2009-12,2009,Dec,19814,2.47,2.5875,2.6975,24.1,2.0,1.46,19
2010-01,2010,Jan,19580,2.5425,2.6525,2.765,28.5,5.6,1.28,17
2010-02,2010,Feb,19845,2.5275,2.6425,2.75,29.1,6.4,1.89,34.8
2010-03,2010,Mar,20536,2.644,2.754,2.864,42.1,12.5,1.60,24
2010-04,2010,Apr,20416,2.72,2.83,2.9375,49.0,23.4,3.66,45
2010-05,2010,May,22368,2.71,2.826,2.934,57.2,29.0,3.10,12
2010-06,2010,Jun,25691,2.655,2.765,2.875,73.4,36.0,1.65,0
2010-07,2010,Jul,28091,2.655,2.7675,2.8775,77.4,42.9,2.21,0
2010-08,2010,Aug,27231,2.684,2.798,2.912,73.3,40.9,1.78,0
2010-09,2010,Sep,24872,2.74,2.8525,2.9625,70.1,32.2,0.74,0
2010-10,2010,Oct,20956,2.71,2.825,2.935,56.4,27.1,2.97,4
2010-11,2010,Nov,19086,2.69,2.804,2.914,33.9,12.8,2.53,29.5
2010-12,2010,Dec,19337,2.7325,2.85,2.96,33.4,12.0,2.55,32
2011-01,2011,Jan,18928,2.914,3.026,3.134,26.5,4.9,2.22,45
2011-02,2011,Feb,18957,3.0625,3.175,3.285,28.8,3.2,1.95,52
2011-03,2011,Mar,21794,3.37,3.48,3.59,42.4,16.0,2.73,43
2011-04,2011,Apr,19271,3.5675,3.6775,3.79,47.1,22.8,3.91,36.5
2011-05,2011,May,21061,3.732,3.846,3.954,53.9,28.4,2.55,5.3
2011-06,2011,Jun,25090,3.6275,3.7425,3.8525,72.0,33.7,0.85,0
2011-07,2011,Jul,27358,3.495,3.6075,3.72,75.7,44.6,2.52,0
2011-08,2011,Aug,27519,3.474,3.586,3.698,75.5,41.7,0.99,0
2011-09,2011,Sep,25481,3.525,3.64,3.75,66.1,34.6,1.59,0
2011-10,2011,Oct,22004,3.476,3.592,3.702,51.4,26.2,2.43,10
2011-11,2011,Nov,19863,3.4,3.515,3.6275,36.6,13.7,0.76,10.2
2011-12,2011,Dec,20684,3.175,3.2925,3.405,28.7,5.3,0.35,8.6
2012-01,2012,Jan,19531,3.014,3.13,3.242,31.2,4.8,1.80,26.3
2012-02,2012,Feb,19755,3.09,3.2025,3.315,33.5,6.7,1.11,16.9
2012-03,2012,Mar,23271,3.5,3.6175,3.7225,47.1,16.7,0.55,7
2012-04,2012,Apr,20611,3.86,3.976,4.08,56.7,25.2,1.84,16
2012-05,2012,May,23037,3.7725,3.89,3.9975,64.4,30.2,2.15,0
2012-06,2012,Jun,26496,3.68,3.795,3.9025,72.1,36.1,1.21,0
2012-07,2012,Jul,27976,3.542,3.66,3.77,77.8,44.5,3.92,0
2012-08,2012,Aug,27526,3.495,3.61,3.7225,74.7,42.5,1.72,0
2012-09,2012,Sep,24666,3.6575,3.77,3.8825,67.7,33.6,1.59,0
2012-10,2012,Oct,22125,3.668,3.788,3.898,54.8,25.0,1.73,4
2012-11,2012,Nov,20449,3.43,3.545,3.66,41.7,17.2,0.35,3.5
2012-12,2012,Dec,18208,3.162,3.278,3.39,29.6,8.2,1.52,24.8
2013-01,2013,Jan,19541,2.8825,2.9975,3.11,25.8,1.7,1.33,20.5
2013-02,2013,Feb,19101,3.405,3.5225,3.6425,29.7,6.0,0.92,14.5
2013-03,2013,Mar,22792,3.565,3.685,3.81,40.1,13.6,1.73,23
2013-04,2013,Apr,20349,3.552,3.678,3.802,44.4,22.1,2.93,32
2013-05,2013,May,23523,3.715,3.84,3.965,60.1,30.5,1.87,0
2013-06,2013,Jun,21059,3.7125,3.84,3.965,74.5,36.2,0.17,0
2013-07,2013,Jul,28327,3.54,3.672,3.802,76.9,43.9,2.69,0
2013-08,2013,Aug,27702,3.515,3.6525,3.7825,74.6,42.0,1.38,0
2013-09,2013,Sep,24218,3.526,3.666,3.804,68.3,38.3,3.97,0.5
2013-10,2013,Oct,22205,3.3525,3.4975,3.6375,49.6,24.0,1.64,16.5
2013-11,2013,Nov,19886,3.175,3.32,3.4625,39.3,15.3,1.17,16
2013-12,2013,Dec,20527,3.068,3.21,3.352,25.5,5.9,1.41,21.1
2014-01,2014,Jan,19821,3.1825,3.3225,3.47,27.5,5.9,2.89,50
2014-02,2014,Feb,19902,3.2875,3.435,3.58,33.1,14.0,3.04,34.3
2014-03,2014,Mar,23275,3.578,3.724,3.87,41.6,14.7,2.04,26.5
2014-04,2014,Apr,21317,3.5275,3.675,3.825,47.0,23.4,0.74,10
2014-05,2014,May,23761,3.46,3.615,3.765,57.9,30.3,2.12,3
2014-06,2014,Jun,27277,3.508,3.668,3.818,70.8,35.8,0.40,0
2014-07,2014,Jul,29877,3.595,3.7575,3.905,77.1,43.1,2.55,0
2014-08,2014,Aug,28696,3.6275,3.7925,3.9375,69.4,40.9,2.24,0
2014-09,2014,Sep,26362,3.56,3.728,3.878,68.3,37.0,2.48,0
2014-10,2014,Oct,24408,3.225,3.3975,3.5475,55.6,28.0,1.47,0.5
2014-11,2014,Nov,20203,2.9575,3.12,3.275,37.3,14.7,2.67,45.3
2014-12,2014,Dec,21459,2.484,2.66,2.802,30.4,12.6,2.35,36
2015-01,2015,Jan,21420,1.93,2.1025,2.25,31.2,11.5,0.58,12
2015-02,2015,Feb,20606,2.025,2.195,2.3525,36.8,14.8,1.15,22
2015-03,2015,Mar,25633,2.21,2.384,2.548,45.7,17.6,1.01,15.5
2015-04,2015,Apr,23457,2.295,2.4775,2.65,51.6,24.1,1.07,4
2015-05,2015,May,25290,2.535,2.7175,2.8925,56.7,31.5,3.55,5
2015-06,2015,Jun,29571,2.624,2.818,3,73.9,39.8,1.44,0
2015-07,2015,Jul,32273,2.72,2.92,3.1125,71.1,42.0,2.92,0
2015-08,2015,Aug,29663,2.8,3.018,3.224,74.7,41.2,1.17,0
2015-09,2015,Sep,28616,2.57,2.8025,3.015,66.5,35.2,1.76,0
2015-10,2015,Oct,25758,2.2875,2.5275,2.7475,58.0,29.5,1.80,2
2015-11,2015,Nov,21938,2.006,2.25,2.484,35.8,12.7,2.12,25
2015-12,2015,Dec,23347,1.8675,2.1175,2.3475,27.2,6.6,1.29,23.5
2016-01,2016,Jan,22470,1.7975,2.055,2.29,27.3,6.4,1.80,37.5
2016-02,2016,Feb,20829,1.61,1.868,2.1,37.3,7.4,1.28,20
2016-03,2016,Mar,25512,1.89,2.15,2.385,41.6,16.4,3.43,44.3
2016-04,2016,Apr,23563,1.9975,2.2525,2.4975,48.2,25.1,2.01,18
2016-05,2016,May,27800,2.164,2.42,2.67,58.8,30.5,1.85,0
2016-06,2016,Jun,31702,2.2525,2.5075,2.7575,75.6,38.5,0.98,0
2016-07,2016,Jul,33354,2.1975,2.45,2.705,75.4,41.8,2.08,0
2016-08,2016,Aug,32044,2.112,2.368,2.624,70.9,40.0,2.33,0
2016-09,2016,Sep,30647,2.1675,2.43,2.695,67.1,33.3,1.33,0
2016-10,2016,Oct,27020,2.158,2.424,2.684,58.8,27.5,0.63,2
2016-11,2016,Nov,23524,2.055,2.325,2.59,44.1,18.9,1.56,17
2016-12,2016,Dec,23246,2.0725,2.34,2.6075,28.2,8.5,2.90,41
2017-01,2017,Jan,21883,2.226,2.496,2.76,26.2,7.6,3.25,56.8
2017-02,2017,Feb,23391,2.16,2.4375,2.7025,39.7,19.0,1.19,19.5